Index_Sinistre;Annee;Age_assure;Sexe_assure;Ind_fumeur;Emploi_assure;Statut_marital;Nbre_enfants;Exp_cond;km_annuel;Ind_util_travail;Ind_util_affaires;Score_credit;Region;Age_police;Ind_occas;Ind_vehicule_sport;Valeur_vehicule;Age_vehicule;Couleur_vehicule;Ind_vehicule_loue;Nbre_infract;Temps_sn_sin;Nbre_sinistres;Montant_paye
1;2004;21;F;Non;ETU;A;0;4;11700;Non;Non;657;ES;2;Non;Non;27000;12;R;Non;0;6;1;2228
2;2004;21;F;Non;ETU;A;0;4;10000;Oui;Non;599;SA;3;Non;Non;22000;2;B;Oui;0;0;1;3496
3;2004;46;F;Non;ASS;M;3;30;18300;Oui;Non;533;SA;28;Oui;Non;26000;12;B;Non;0;6;1;2324
4;2004;27;H;Non;ASS;M;1;11;48000;Oui;Non;659;GA;8;Non;Non;23000;0;R;Oui;0;6;1;2861
5;2004;60;H;Non;PRO;M;1;44;36400;Oui;Non;774;SA;28;Oui;Non;19000;3;B;Non;0;6;1;1052
6;2004;58;F;Non;AUT;A;1;42;32000;Non;Oui;544;GA;25;Non;Oui;52000;0;N;Oui;1;6;1;12293
7;2004;47;H;Non;PRO;A;1;30;36300;Non;Non;592;ES;24;Oui;Non;20000;6;A;Non;0;6;1;1344
8;2004;21;H;Oui;ETU;A;1;5;13000;Oui;Non;768;ES;3;Non;Non;31000;9;N;Non;0;0;1;2462
9;2004;38;F;Non;GOU;F;2;22;25200;Non;Non;662;MA;15;Oui;Non;33000;6;N;Non;0;5;1;3614
10;2004;21;H;Non;ETU;M;0;5;10700;Oui;Non;648;ML;2;Oui;Non;25000;6;R;Non;0;0;1;1921
11;2004;34;H;Non;MED;A;2;18;22500;Oui;Non;692;ML;18;Non;Non;21000;2;A;Non;0;6;1;1240
12;2004;60;F;Oui;RTR;A;1;44;58600;Non;Non;463;QC;19;Oui;Oui;37000;2;N;Non;0;6;1;4935
13;2004;61;F;Non;PRO;D;0;45;46000;Oui;Non;534;OU;40;Oui;Non;10000;4;B;Oui;0;6;1;1598
14;2004;36;H;Non;MED;F;0;19;59800;Oui;Non;774;OU;12;Oui;Non;19000;4;A;Non;0;6;1;1118
15;2004;44;H;Oui;ASS;D;1;28;34400;Oui;Non;636;QC;16;Oui;Non;30000;5;R;Non;0;6;1;2058
16;2004;35;F;Non;AUT;M;0;19;42000;Oui;Non;462;ML;13;Oui;Non;10000;2;B;Oui;0;3;1;1764
17;2004;37;H;Non;AUT;F;3;19;10700;Oui;Non;617;SA;17;Non;Non;29000;0;B;Oui;0;6;1;3341
18;2004;22;F;Oui;AUT;M;0;0;42400;Oui;Oui;604;GA;0;Oui;Non;10000;6;A;Non;0;6;1;3563
19;2004;59;F;Oui;RTR;F;0;43;28000;Non;Non;517;ML;32;Oui;Non;10000;2;B;Oui;0;6;1;1277
20;2004;66;H;Oui;RTR;M;0;49;16500;Non;Non;807;GA;34;Oui;Non;25000;4;G;Non;0;6;1;1063
21;2004;16;H;Non;ETU;F;0;0;11900;Oui;Non;681;QC;0;Non;Non;33000;11;B;Non;0;6;1;3644
22;2004;48;H;Oui;MAN;F;1;32;51500;Oui;Non;627;OU;27;Oui;Non;25000;1;G;Oui;1;3;1;2502
23;2004;61;F;Oui;GOU;M;0;45;21500;Oui;Non;975;QC;38;Oui;Non;20000;7;A;Non;0;6;1;885
24;2004;47;F;Non;PRO;D;1;31;16600;Non;Non;523;GA;20;Oui;Oui;53000;0;R;Oui;1;6;1;9013
25;2004;65;H;Oui;RTR;A;3;49;9400;Non;Non;575;GA;31;Oui;Oui;39000;1;R;Oui;0;6;1;6826
26;2004;81;F;Non;RTR;A;1;65;42300;Non;Non;625;ML;29;Oui;Non;24000;0;G;Non;0;6;1;1059
27;2004;24;F;Non;ETU;A;0;1;10100;Oui;Non;605;SA;0;Non;Non;29000;9;B;Non;0;3;1;3049
28;2004;25;F;Non;ASS;A;0;8;34200;Oui;Non;654;MA;5;Non;Non;33000;5;R;Oui;0;5;1;4254
29;2004;49;H;Oui;PRO;F;3;33;34500;Non;Non;594;ES;13;Non;Non;10000;1;N;Non;0;6;1;1097
30;2004;16;H;Non;ETU;A;0;0;9000;Non;Non;551;ML;0;Non;Non;34000;8;B;Non;0;2;1;3248
31;2004;29;H;Non;MAN;A;0;8;24400;Oui;Non;614;QC;3;Non;Non;38000;5;R;Oui;0;4;1;4569
32;2004;24;H;Non;ETU;A;2;8;9200;Oui;Non;783;GA;6;Non;Non;25000;12;R;Non;0;0;1;1763
33;2004;58;F;Oui;PRO;D;1;42;32200;Oui;Non;985;ES;25;Non;Oui;53000;2;N;Oui;0;6;1;3329
34;2004;32;F;Non;MED;A;0;16;16400;Oui;Non;671;GA;11;Non;Non;31000;5;A;Non;0;6;1;3688
35;2004;44;H;Non;MED;D;0;21;16600;Oui;Non;800;MA;15;Non;Non;24000;1;G;Non;0;6;1;1171
36;2004;45;H;Non;ASS;F;0;29;4200;Oui;Non;695;MA;26;Oui;Non;10000;0;B;Oui;1;6;1;1419
37;2004;30;H;Oui;AUT;F;3;14;5200;Oui;Non;749;SA;14;Oui;Non;32000;3;R;Oui;0;0;1;2932
38;2004;52;F;Non;MAN;F;1;36;53200;Oui;Non;640;GA;32;Oui;Non;39000;4;G;Non;0;6;1;4508
39;2004;18;H;Non;ETU;F;0;0;10300;Oui;Non;806;ES;0;Non;Non;45000;11;R;Non;0;4;1;3520
40;2004;26;H;Non;MED;F;1;10;30300;Oui;Non;718;GA;5;Oui;Non;26000;3;R;Oui;0;6;1;3122
41;2004;62;F;Non;MAN;F;4;44;24200;Non;Non;628;ML;41;Oui;Non;25000;1;R;Non;0;6;1;1723
