"Index_Sinistre","Annee","Age_assure","Ind_fumeur","Nbre_enfants","Exp_cond","km_annuel","Ind_util_travail","Ind_util_affaires","Score_credit","Age_police","Ind_occas","Ind_vehicule_sport","Valeur_vehicule","Age_vehicule","Ind_vehicule_loue","Nbre_infract","Temps_sn_sin","Nbre_sinistres","Montant_paye","Sexe_assureF","Sexe_assureH","Sexe_assureM","Emploi_assureASS","Emploi_assureAUT","Emploi_assureETU","Emploi_assureGOU","Emploi_assureMAN","Emploi_assureMED","Emploi_assurePRO","Emploi_assureRTR","Emploi_assureSNS","Statut_maritalA","Statut_maritalD","Statut_maritalF","Statut_maritalM","RegionES","RegionGA","RegionMA","RegionML","RegionOU","RegionQC","RegionSA","Couleur_vehiculeA","Couleur_vehiculeB","Couleur_vehiculeG","Couleur_vehiculeN","Couleur_vehiculeR"
1,2004,21,0,0,4,11700,0,0,657,2,0,0,27000,12,0,0,6,1,2228,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2004,21,0,0,4,10000,1,0,599,3,0,0,22000,2,1,0,0,1,3496,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,2004,46,0,3,30,18300,1,0,533,28,1,0,26000,12,0,0,6,1,2324,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
4,2004,27,0,1,11,48000,1,0,659,8,0,0,23000,0,1,0,6,1,2861,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,2004,60,0,1,44,36400,1,0,774,28,1,0,19000,3,0,0,6,1,1052,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6,2004,58,0,1,42,32000,0,1,544,25,0,1,52000,0,1,1,6,1,12293,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,2004,47,0,1,30,36300,0,0,592,24,1,0,20000,6,0,0,6,1,1344,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,2004,21,1,1,5,13000,1,0,768,3,0,0,31000,9,0,0,0,1,2462,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,2004,38,0,2,22,25200,0,0,662,15,1,0,33000,6,0,0,5,1,3614,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
10,2004,21,0,0,5,10700,1,0,648,2,1,0,25000,6,0,0,0,1,1921,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
11,2004,34,0,2,18,22500,1,0,692,18,0,0,21000,2,0,0,6,1,1240,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12,2004,60,1,1,44,58600,0,0,463,19,1,1,37000,2,0,0,6,1,4935,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,2004,61,0,0,45,46000,1,0,534,40,1,0,10000,4,1,0,6,1,1598,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14,2004,36,0,0,19,59800,1,0,774,12,1,0,19000,4,0,0,6,1,1118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
15,2004,44,1,1,28,34400,1,0,636,16,1,0,30000,5,0,0,6,1,2058,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,2004,35,0,0,19,42000,1,0,462,13,1,0,10000,2,1,0,3,1,1764,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
17,2004,37,0,3,19,10700,1,0,617,17,0,0,29000,0,1,0,6,1,3341,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18,2004,22,1,0,0,42400,1,1,604,0,1,0,10000,6,0,0,6,1,3563,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
19,2004,59,1,0,43,28000,0,0,517,32,1,0,10000,2,1,0,6,1,1277,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20,2004,66,1,0,49,16500,0,0,807,34,1,0,25000,4,0,0,6,1,1063,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
21,2004,16,0,0,0,11900,1,0,681,0,0,0,33000,11,0,0,6,1,3644,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
22,2004,48,1,1,32,51500,1,0,627,27,1,0,25000,1,1,1,3,1,2502,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
23,2004,61,1,0,45,21500,1,0,975,38,1,0,20000,7,0,0,6,1,885,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
24,2004,47,0,1,31,16600,0,0,523,20,1,1,53000,0,1,1,6,1,9013,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,2004,65,1,3,49,9400,0,0,575,31,1,1,39000,1,1,0,6,1,6826,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,2004,81,0,1,65,42300,0,0,625,29,1,0,24000,0,0,0,6,1,1059,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
27,2004,24,0,0,1,10100,1,0,605,0,0,0,29000,9,0,0,3,1,3049,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,2004,25,0,0,8,34200,1,0,654,5,0,0,33000,5,1,0,5,1,4254,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
29,2004,49,1,3,33,34500,0,0,594,13,0,0,10000,1,0,0,6,1,1097,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
30,2004,16,0,0,0,9000,0,0,551,0,0,0,34000,8,0,0,2,1,3248,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,2004,29,0,0,8,24400,1,0,614,3,0,0,38000,5,1,0,4,1,4569,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2004,24,0,2,8,9200,1,0,783,6,0,0,25000,12,0,0,0,1,1763,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,2004,58,1,1,42,32200,1,0,985,25,0,1,53000,2,1,0,6,1,3329,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,2004,32,0,0,16,16400,1,0,671,11,0,0,31000,5,0,0,6,1,3688,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,2004,44,0,0,21,16600,1,0,800,15,0,0,24000,1,0,0,6,1,1171,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36,2004,45,0,0,29,4200,1,0,695,26,1,0,10000,0,1,1,6,1,1419,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
37,2004,30,1,3,14,5200,1,0,749,14,1,0,32000,3,1,0,0,1,2932,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38,2004,52,0,1,36,53200,1,0,640,32,1,0,39000,4,0,0,6,1,4508,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
39,2004,18,0,0,0,10300,1,0,806,0,0,0,45000,11,0,0,4,1,3520,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
40,2004,26,0,1,10,30300,1,0,718,5,1,0,26000,3,1,0,6,1,3122,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
41,2004,62,0,4,44,24200,0,0,628,41,1,0,25000,1,0,0,6,1,1723,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
42,2004,41,0,0,25,10200,0,1,626,23,1,0,31000,2,0,0,3,1,5698,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,2004,42,0,2,26,39800,0,0,845,19,1,0,33000,0,1,0,6,1,1654,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,2004,30,1,2,14,23800,0,0,772,7,1,0,21000,3,1,1,6,1,1930,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
45,2004,29,0,2,11,37300,1,0,524,8,0,0,10000,2,1,0,5,1,2213,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
46,2004,29,1,1,12,8400,1,0,700,12,1,1,49000,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
47,2004,40,0,1,24,56700,1,0,682,15,0,0,32000,2,0,0,5,1,1975,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
48,2004,34,1,0,18,11400,0,1,630,9,1,0,26000,5,1,0,6,1,3884,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
49,2004,21,0,0,2,7800,1,0,744,0,1,0,32000,11,0,0,6,1,2959,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
50,2004,42,1,1,26,40800,1,0,475,20,1,0,27000,12,0,1,6,1,2437,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
51,2004,20,0,0,3,27400,1,0,574,2,0,0,15000,12,0,0,6,1,1766,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
52,2004,56,0,1,40,36500,1,1,625,24,1,0,21000,5,0,0,1,1,2467,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
53,2004,22,0,0,4,32100,1,0,677,2,0,0,40000,6,0,0,6,1,3824,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,2004,53,0,1,28,50800,1,0,689,16,0,0,20000,1,1,0,0,1,1707,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
55,2004,22,0,0,6,11600,1,0,926,4,1,0,28000,12,0,1,6,1,2337,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
56,2004,46,0,1,30,54400,1,1,624,21,1,1,42000,0,1,0,6,1,10816,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57,2004,63,1,1,40,37500,0,0,692,26,1,0,37000,0,0,0,6,1,2692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
58,2004,29,0,1,13,46000,0,0,584,8,1,0,15000,2,1,0,6,1,2758,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
59,2004,39,1,1,23,19300,1,0,681,17,0,0,10000,3,1,0,6,1,1625,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,2004,63,0,1,43,23500,0,0,494,40,1,0,39000,2,1,0,6,1,4137,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
61,2004,24,0,0,8,9600,1,0,657,5,0,0,26000,12,0,0,6,1,1785,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
62,2004,36,1,2,17,22600,1,0,655,9,1,0,37000,3,0,0,6,1,4092,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
63,2004,41,0,2,25,38500,1,0,931,21,0,0,32000,3,0,0,3,1,1381,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
64,2004,59,1,0,43,29000,1,1,673,17,0,1,59000,1,1,0,6,1,10101,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
65,2004,48,0,1,32,44800,1,0,658,22,1,0,16000,7,0,0,6,1,983,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
66,2004,24,0,1,7,32200,0,0,696,4,0,0,31000,8,0,0,6,1,3563,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
67,2004,25,0,1,9,21300,1,0,810,7,0,0,16000,4,0,0,6,1,1038,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
68,2004,28,1,1,12,40800,1,0,503,7,0,0,19000,3,0,0,2,1,1865,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69,2004,40,0,1,22,28400,0,1,555,19,0,0,30000,4,0,0,6,1,2722,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
70,2004,70,0,2,51,39300,0,0,507,33,1,0,19000,2,0,0,0,1,1331,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
71,2004,24,0,0,8,33200,1,0,647,5,0,0,18000,5,0,0,6,1,1377,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
72,2004,42,0,0,26,35100,1,1,596,18,0,0,30000,3,1,0,6,1,5529,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
73,2004,27,1,0,11,19100,1,0,629,6,1,1,77000,0,1,1,6,1,10498,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,2004,44,1,4,25,30400,1,0,678,8,1,0,17000,1,1,0,6,1,2232,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
75,2004,28,0,0,12,6700,1,0,567,6,1,0,33000,2,1,0,6,1,4451,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
